number,bestOf,title,live,releaseDate,guests,earwolfUrl
662,FALSE,The Robbies,FALSE,2020-06-29,"['Rory Scovel', 'Sasheer Zamata', 'Mary Holland']",https://www.earwolf.com/episode/the-robbies/
661,FALSE,The Moser Trio,FALSE,2020-06-22,"['Paul F. Tompkins', 'Carl Tart', 'Tim Baltz']",https://www.earwolf.com/episode/the-moser-trio/
660,FALSE,Beer with Judy Greer Award,FALSE,2020-06-15,"['Judy Greer', 'Shaun Diston', 'Will Hines']",https://www.earwolf.com/episode/beer-with-judy-greer-award/
659,FALSE,Hubba Hubba Punch Up,FALSE,2020-06-08,"['Judd Apatow', 'Edi Patterson', 'Ego Nwodim', 'Ben Rodgers']",https://www.earwolf.com/episode/hubba-hubba-punch-up/
658,FALSE,AcroBATics,FALSE,2020-06-01,"['Myq Kaplan', 'Mike Hanford', 'Jessica McKenna']",https://www.earwolf.com/episode/acrobatics/
657,FALSE,"Space Forts, Baby!",FALSE,2020-05-25,"['Ben Schwartz', 'Tawny Newsome', 'Dan Lippert']",https://www.earwolf.com/episode/space-forts-baby/
656,FALSE,A Bonanas for Bonanza Takeover,FALSE,2020-05-21,"['Andy Daly', 'Maria Bamford', 'Matt Gourley']",https://www.earwolf.com/episode/a-bonanas-for-bonanza-takeover/
655,FALSE,Zoom Gloom,FALSE,2020-05-18,"['David Spade', 'Lauren Lapkus', 'Seth Morris']",https://www.earwolf.com/episode/zoom-gloom/
654,FALSE,LasSie is Benji,FALSE,2020-05-11,"['Rhys Darby', 'Paul F. Tompkins', 'Matt Apodaca']",https://www.earwolf.com/episode/lassie-is-benji/
653,FALSE,The 11th Anniversary Show!,FALSE,2020-05-04,"['Jason Mantzoukas', 'Paul F. Tompkins', 'Jon Gabrus', 'Lily Sullivan', 'Carl Tart', 'Ego Nwodim']",https://www.earwolf.com/episode/the-11th-anniversary-show/
652,FALSE,Virtual Styling,FALSE,2020-04-27,"['Jonathan Van Ness', 'Edi Patterson', 'Tawny Newsome', 'Tim Baltz']",https://www.earwolf.com/episode/virtual-styling/
651,FALSE,Pirates Never Lie,FALSE,2020-04-20,"['Ben Schwartz', 'Thomas Middleditch']",https://www.earwolf.com/episode/pirates-never-lie/
650,FALSE,Bun Gun And A Hot Dog Bullet,FALSE,2020-04-13,"['Jason Mantzoukas', 'Andy Daly']",https://www.earwolf.com/episode/bun-gun-and-a-hot-dog-bullet/
649,FALSE,Goose Tycoon,FALSE,2020-04-09,"['Jon Gabrus', 'Ego Nwodim', 'Carl Tart', 'Drew Tarver']",https://www.earwolf.com/episode/goose-tycoon/
648,FALSE,Door-to-door Doors,FALSE,2020-04-06,"['Alan Yang', 'Lauren Lapkus', 'Mike Castle']",https://www.earwolf.com/episode/door-to-door-doors/
647,FALSE,Steak My Day,FALSE,2020-03-30,"['Paul F. Tompkins', 'Nicole Parker', 'Ryan Gaul']",https://www.earwolf.com/episode/steak-my-day/
646,FALSE,Ninja Nordstrom,FALSE,2020-03-23,"['Shaun Diston', 'Lily Sullivan', 'Jacob Wysocki']",https://www.earwolf.com/episode/ninja-nordstrom/
645,FALSE,Jack FM Bumpers,FALSE,2020-03-16,"['Matt Braunger', 'Will Hines', 'Brad Evans', 'Nick Ciarelli']",https://www.earwolf.com/episode/jack-fm-bumpers/
644,FALSE,Fall Olympics,FALSE,2020-03-09,"['Jon Gabrus', ""D'Arcy Carden"", 'Brandon Scott Jones', 'Dan Lippert']",https://www.earwolf.com/episode/fall-olympics/
643,FALSE,The Order of the Keepers,FALSE,2020-03-02,"['Neil Campbell', 'Paul F. Tompkins']",https://www.earwolf.com/episode/the-order-of-the-keepers/
642,FALSE,Chicago Chaperone,FALSE,2020-02-24,"['Jimmy Pardo', 'Niccole Thurman', 'Matt Apodaca']",https://www.earwolf.com/episode/chicago-chaperone/
641,FALSE,Not My Aunt,FALSE,2020-02-17,"['Adam Cayton-Holland', 'Jessica McKenna', 'Zach Reino']",https://www.earwolf.com/episode/not-my-aunt/
