,number,bestOf,title,live,releaseDate,guests,earwolfUrl,contentfulId
27,669.0,False,Star Trek: Upper Decker,False,2020-08-17,"[""Jack Quaid"", ""Eugene Cordero"", ""Tawny Newsome""]",https://www.earwolf.com/episode/star-trek-upper-decker/,1tB9KN4RIaKLlswbwqxNWw
28,668.0,False,Four Siblings,False,2020-08-10,"[""June Diane Raphael"", ""Paul F. Tompkins"", ""Jacquis Neal""]",https://www.earwolf.com/episode/four-siblings/,17EO6hq2rYu9VXpi21ir7e
29,667.0,False,Andy Samberg Is Not Family,False,2020-08-03,"[""Andy Samberg"", ""Mike Hanford"", ""Tim Kalpakis"", ""Jefferson Dutton"", ""Will Hines""]",https://www.earwolf.com/episode/andy-samberg-is-not-family/,7GVjyDur62XhFEymBV8Bt1
30,666.0,False,You Get It?,False,2020-07-27,"[""Yassir Lester"", ""Edi Patterson"", ""Ryan Gaul"", ""Nick Wiger""]",https://www.earwolf.com/episode/you-get-it/,5ZoBLYNBlQ0yMuzdSHW5rW
31,665.0,False,Half a Hartnett,False,2020-07-20,"[""Jim Gaffigan"", ""Lily Sullivan"", ""Ego Nwodim""]",https://www.earwolf.com/episode/half-a-hartnett/,3AotZTbssdxmppkPXIp6Et
32,664.0,False,"YouTube, Show Me Haircut",False,2020-07-13,"[""Langston Kerman"", ""Heidi Gardner"", ""Zac Oyama""]",https://www.earwolf.com/episode/youtube-show-me-haircut/,2zt3zcoB0tC4ffQxu8WNh7
33,663.0,False,P.A.I.G.E. Is Magic,False,2020-07-06,"[""John Hodgman"", ""David Rees"", ""Paul F. Tompkins"", ""Matt Gourley""]",https://www.earwolf.com/episode/p-a-i-g-e-is-magic/,2vi72UWqR1c52GNxPZonpW
34,662.0,False,The Robbies,False,2020-06-29,"[""Rory Scovel"", ""Sasheer Zamata"", ""Mary Holland""]",https://www.earwolf.com/episode/the-robbies/,d9It0W3juc4gke1SztoAt
35,661.0,False,The Moser Trio,False,2020-06-22,"[""Paul F. Tompkins"", ""Carl Tart"", ""Tim Baltz""]",https://www.earwolf.com/episode/the-moser-trio/,5mjAxwltwZLlURZgFPAyQz
36,660.0,False,Beer with Judy Greer Award,False,2020-06-15,"[""Judy Greer"", ""Shaun Diston"", ""Will Hines""]",https://www.earwolf.com/episode/beer-with-judy-greer-award/,1nLmmayi1I3EJRttR7Eobk
37,659.0,False,Hubba Hubba Punch Up,False,2020-06-08,"[""Judd Apatow"", ""Edi Patterson"", ""Ego Nwodim"", ""Ben Rodgers""]",https://www.earwolf.com/episode/hubba-hubba-punch-up/,3xAnGdeFSDu1Q3zmPuayTj
38,658.0,False,AcroBATics,False,2020-06-01,"[""Myq Kaplan"", ""Mike Hanford"", ""Jessica McKenna""]",https://www.earwolf.com/episode/acrobatics/,1D91MTqLxqtfqg1Si9kQHB
39,657.0,False,"Space Forts, Baby!",False,2020-05-25,"[""Ben Schwartz"", ""Tawny Newsome"", ""Dan Lippert""]",https://www.earwolf.com/episode/space-forts-baby/,5NTRrIhVMn5T4YFSo44duy
40,656.0,False,A Bonanas for Bonanza Takeover,False,2020-05-21,"[""Andy Daly"", ""Maria Bamford"", ""Matt Gourley""]",https://www.earwolf.com/episode/a-bonanas-for-bonanza-takeover/,5g1x6QKCZBDV3HMh8IxCE1
41,655.0,False,Zoom Gloom,False,2020-05-18,"[""David Spade"", ""Lauren Lapkus"", ""Seth Morris""]",https://www.earwolf.com/episode/zoom-gloom/,5nIUUGjM3SpAErS2X85mX
42,654.0,False,LasSie is Benji,False,2020-05-11,"[""Rhys Darby"", ""Paul F. Tompkins"", ""Matt Apodaca""]",https://www.earwolf.com/episode/lassie-is-benji/,1m4FVwDgxxIXN4y9zTkSOU
43,653.0,False,The 11th Anniversary Show!,False,2020-05-04,"[""Jason Mantzoukas"", ""Paul F. Tompkins"", ""Jon Gabrus"", ""Lily Sullivan"", ""Carl Tart"", ""Ego Nwodim""]",https://www.earwolf.com/episode/the-11th-anniversary-show/,7elVH2kK92MLqw2uk3pZrk
44,652.0,False,Virtual Styling,False,2020-04-27,"[""Jonathan Van Ness"", ""Edi Patterson"", ""Tawny Newsome"", ""Tim Baltz""]",https://www.earwolf.com/episode/virtual-styling/,5uvVGlFq2gS6D9ldwqoll5
45,651.0,False,Pirates Never Lie,False,2020-04-20,"[""Ben Schwartz"", ""Thomas Middleditch""]",https://www.earwolf.com/episode/pirates-never-lie/,21WTXfIEXNNEhafN0sPjJD
46,650.0,False,Bun Gun And A Hot Dog Bullet,False,2020-04-13,"[""Jason Mantzoukas"", ""Andy Daly""]",https://www.earwolf.com/episode/bun-gun-and-a-hot-dog-bullet/,58klJV5WiCqDjJAU3S7R0M
47,649.0,False,Goose Tycoon,False,2020-04-09,"[""Jon Gabrus"", ""Ego Nwodim"", ""Carl Tart"", ""Drew Tarver""]",https://www.earwolf.com/episode/goose-tycoon/,5niln2MdMPCU0rDg0GqwOj
48,648.0,False,Door-to-door Doors,False,2020-04-06,"[""Alan Yang"", ""Lauren Lapkus"", ""Mike Castle""]",https://www.earwolf.com/episode/door-to-door-doors/,5FJ7JRuGAE3Lo0eiit0H2M
49,647.0,False,Steak My Day,False,2020-03-30,"[""Paul F. Tompkins"", ""Nicole Parker"", ""Ryan Gaul""]",https://www.earwolf.com/episode/steak-my-day/,4SwEdG5zXasl6vrG1bQeac
50,646.0,False,Ninja Nordstrom,False,2020-03-23,"[""Shaun Diston"", ""Lily Sullivan"", ""Jacob Wysocki""]",https://www.earwolf.com/episode/ninja-nordstrom/,6DLArYTQ7SEi2hR1HaHf7N
51,645.0,False,Jack FM Bumpers,False,2020-03-16,"[""Matt Braunger"", ""Will Hines"", ""Brad Evans"", ""Nick Ciarelli""]",https://www.earwolf.com/episode/jack-fm-bumpers/,yMwD35OzNU22WZV7I8Cfs
52,644.0,False,Fall Olympics,False,2020-03-09,"[""Jon Gabrus"", ""D'Arcy Carden"", ""Brandon Scott Jones"", ""Dan Lippert""]",https://www.earwolf.com/episode/fall-olympics/,2GjuqfT3bmy6RfJGT3zsgx
53,643.0,False,The Order of the Keepers,False,2020-03-02,"[""Neil Campbell"", ""Paul F. Tompkins""]",https://www.earwolf.com/episode/the-order-of-the-keepers/,1HAlzP6PitDWUprgrSxLq2
54,642.0,False,Chicago Chaperone,False,2020-02-24,"[""Jimmy Pardo"", ""Niccole Thurman"", ""Matt Apodaca""]",https://www.earwolf.com/episode/chicago-chaperone/,52VqS4EAzOusRj0q6xm8hG
55,641.0,False,Not My Aunt,False,2020-02-17,"[""Adam Cayton-Holland"", ""Jessica McKenna"", ""Zach Reino""]",https://www.earwolf.com/episode/not-my-aunt/,VUnpkgqADkZsR3YWGX2mA
56,640.0,False,Solo Bolo Sonicolo,False,2020-02-13,"[""Ben Schwartz""]",https://www.earwolf.com/episode/solo-bolo-sonicolo/,6ceSDhyisD706XWid2Hbgg
57,639.0,False,The Becky Button,False,2020-02-10,"[""Andy Samberg"", ""Nick Kroll"", ""Lily Sullivan""]",https://www.earwolf.com/episode/the-becky-button/,2a79oXLQpmJSPWUkvBDwNU
58,638.0,False,One Last Heist,False,2020-02-03,"[""Jason Mantzoukas"", ""Shaun Diston"", ""Tim Baltz""]",https://www.earwolf.com/episode/one-last-heist/,4BGMPIR1MOcUnmj0N6i4uy
59,637.0,False,"Moshe Rock, Lord Andrew Lloyd Webber & Jim the Shim",False,2020-01-27,"[""Moshe Kasher"", ""Paul F. Tompkins"", ""Tawny Newsome""]",https://www.earwolf.com/episode/moshe-rock-lord-andrew-lloyd-webber-jim-the-shim/,3HPLFZldyDURv8IPAKrodL
60,636.0,False,Hamburger Spider,False,2020-01-20,"[""Kristian Bruun"", ""Ben Rodgers"", ""Lisa Gilroy""]",https://www.earwolf.com/episode/hamburger-spider/,4CSJtwhYXWY8cVZTJvOgjo
61,635.0,False,Peanut Time Machine,False,2020-01-16,"[""Rob Huebel"", ""Erinn Hayes"", ""Jonathan Braylock"", ""Jerah Milligan"", ""James III""]",https://www.earwolf.com/episode/peanut-time-machine/,4MeA5Sj3SAWj5lhZopXb4x
62,634.0,False,"Wainscotting, Entree P. Neur & Italiano Jones",False,2020-01-13,"[""David Wain"", ""Ego Nwodim"", ""Carl Tart""]",https://www.earwolf.com/episode/wainscotting-entree-p-neur-italiano-jones/,3TizGnt5dMOvbBzYGl9Y6n
63,633.0,False,"Forky On Top, Porky On The Bottom",False,2020-01-06,"[""Ben Schwartz"", ""Horatio Sanz""]",https://www.earwolf.com/episode/forky-on-top-porky-on-the-bottom/,fPidlDBIp9qM8orQQnM88
64,2019.4,True,Best of 2019 Pt.4,False,2020-01-02,"[""Paul F. Tompkins""]",https://www.earwolf.com/episode/best-of-2019-pt-4/,rOouI4YMGGUnkQQBYgO0h
65,2019.3,True,Best of 2019 Pt.3,False,2019-12-30,"[""Paul F. Tompkins""]",https://www.earwolf.com/episode/best-of-2019-pt-3/,lmRhX2dE7ZF5sQ91gij2e
66,2019.2,True,Best of 2019 Pt.2,False,2019-12-26,"[""Paul F. Tompkins""]",https://www.earwolf.com/episode/best-of-2019-pt-2/,6kWbM4VeO1fyWGXYmb2dKm
67,2019.1,True,Best of 2019 Pt.1,False,2019-12-23,"[""Paul F. Tompkins""]",https://www.earwolf.com/episode/best-of-2019-pt-1/,36aZyYvfdu8kETynVHcnvu
68,632.0,False,2019 Holiday Spectacular,False,2019-12-16,"[""Carl Tart"", ""Drew Tarver"", ""Electric Guest"", ""Jason Mantzoukas"", ""Jon Gabrus"", ""Lauren Lapkus"", ""Lily Sullivan"", ""Paul F. Tompkins"", ""Shaun Diston"", ""Tim Baltz""]",https://www.earwolf.com/episode/2019-holiday-spectacular/,6XeNHVIDV9cDpuOxW98ZnW
69,631.0,False,What Are The Coordinates?,False,2019-12-09,"[""Rekha Shankar"", ""Mary Holland"", ""Jimmy Fowlie""]",https://www.earwolf.com/episode/what-are-the-coordinates/,6CSuPZE5YersNKU7njLpCu
70,630.0,False,Tattoos Clues,False,2019-12-02,"[""Thomas Middleditch"", ""Jon Gabrus""]",https://www.earwolf.com/episode/tattoos-clues/,BaL1BqrgYmnRZw1FVEXaO
71,629.0,False,Pimp My Site,False,2019-11-25,"[""Demi Adejuyigbe"", ""Gabe Gundacker"", ""Ryan Rosenberg"", ""Ify Nwadiwe""]",https://www.earwolf.com/episode/pimp-my-site/,4WlLtBPoRXwUd9weu8FkpF
72,628.0,False,Floating Bus Reform,False,2019-11-18,"[""Joel Kim Booster"", ""Mitra Jouhari"", ""Dan Lippert"", ""Zac Oyama""]",https://www.earwolf.com/episode/floating-bus-reform/,7bdJRPKpTLzNpVjjmRryo5
73,627.0,False,How Bout That?,False,2019-11-11,"[""Allen Strickland Williams"", ""Holly Prazoff"", ""Jiavani Linayao""]",https://www.earwolf.com/episode/how-bout-that/,3W4sDEYNNW6Vqxwhi0v7BL
74,626.0,False,Trickery and Rhythm,False,2019-11-04,"[""Max Silvestri"", ""Edgar Momplaisir"", ""Zeke Nicholson""]",https://www.earwolf.com/episode/trickery-and-rhythm/,5d54ou3DICe1fYjPhmWf4o
75,625.0,False,Petite Modeling,False,2019-10-28,"[""Jon Gabrus"", ""Claudia O'Doherty"", ""Will Hines"", ""Ben Rodgers""]",https://www.earwolf.com/episode/petite-modeling/,3QTOrymjVpd3J9jCvSQpCm
76,624.0,False,Clinkity Clank,False,2019-10-21,"[""Jocelyn DeBoer"", ""Dawn Luebbe"", ""Griffin Newman"", ""Laci Mosley""]",https://www.earwolf.com/episode/clinkity-clank/,7866kadXXdEjsUO53SAlAa
77,623.0,False,The Pragmatic Jokers,False,2019-10-14,"[""Sarah Baker"", ""Matt Gourley"", ""Paul F. Tompkins""]",https://www.earwolf.com/episode/the-pragmatic-jokers/,6thNQME54XyJYfQDAf1jVi
78,622.0,False,Pillow Coffin: Rudi North Returns,False,2019-10-07,"[""Jason Mantzoukas"", ""Shaun Diston"", ""Lily Sullivan"", ""Tim Baltz""]",https://www.earwolf.com/episode/pillow-coffin-rudi-north-returns/,3dlU4qNjolMK7BUNobKJQo
